Campaign_ID,Campaign_Name,Channel,Region,Budget (₹),Spent (₹),Leads_Generated,Conversions,Conversion_Rate (%),Revenue (₹),ROI (%),Status,Start_Date,End_Date
CAMP-027,Diwali Dhamaka,TV Ads,West,304444,240971,1544,1211,5.44,426087,-4.49,Active,2024-01-27,2024-02-27
CAMP-028,Summer Sale,TV Ads,North,129273,302193,4261,638,1.54,421994,20.84,Completed,2024-01-28,2024-02-28
CAMP-029,Summer Sale,Social Media,West,387003,488933,711,904,6.44,619383,126.13,Paused,2024-01-29,2024-02-29
CAMP-030,New Year Blast,SEO,South,261837,387505,3933,499,5.01,195342,173.97,Active,2024-01-30,2024-03-01
CAMP-031,New Year Blast,TV Ads,East,160017,298226,3669,1026,10.32,736268,159.11,Paused,2024-01-31,2024-03-02
CAMP-032,Winter Fest,Email,North,173618,282805,1918,336,9.28,851955,130.73,Paused,2024-02-01,2024-03-03
CAMP-033,Diwali Dhamaka,Email,Central,495609,188484,2384,607,5.79,112433,4.3,Completed,2024-02-02,2024-03-04
CAMP-034,Diwali Dhamaka,Radio,South,175341,285064,3424,1024,3.66,594279,43.62,Active,2024-02-03,2024-03-05
CAMP-035,Flash Friday,SEO,West,341574,265378,1066,298,14.83,322919,48.16,Paused,2024-02-04,2024-03-06
CAMP-036,Flash Friday,SEO,South,256604,473531,4456,602,7.08,521017,34.99,Active,2024-02-05,2024-03-07
CAMP-037,Flash Friday,Radio,North,77788,361705,257,582,10.48,397139,93.3,Active,2024-02-06,2024-03-08
CAMP-038,New Year Blast,TV Ads,West,276577,291090,2715,1387,2.54,197745,97.82,Completed,2024-02-07,2024-03-09
CAMP-039,Diwali Dhamaka,SEO,East,491759,245314,2543,37,7.54,697096,58.51,Active,2024-02-08,2024-03-10
CAMP-040,Diwali Dhamaka,Email,South,457135,458716,682,963,0.9,732416,57.83,Active,2024-02-09,2024-03-11
CAMP-041,Summer Sale,Email,North,381490,255612,2152,52,7.83,187686,162.28,Paused,2024-02-10,2024-03-12
CAMP-042,New Year Blast,Social Media,Central,408266,298453,3009,432,14.48,57415,153.64,Completed,2024-02-11,2024-03-13
CAMP-043,Monsoon Offer,SEO,West,89974,75230,3133,186,6.07,820326,47.72,Active,2024-02-12,2024-03-14
CAMP-044,New Year Blast,TV Ads,South,419453,393966,4802,538,1.07,487100,181.03,Paused,2024-02-13,2024-03-15
CAMP-045,Monsoon Offer,Radio,South,66371,443243,1981,975,0.95,984468,189.62,Completed,2024-02-14,2024-03-16
CAMP-046,Summer Sale,Radio,East,357228,485757,3769,207,6.13,828493,51.88,Completed,2024-02-15,2024-03-17
CAMP-047,Winter Fest,TV Ads,East,472845,394484,2612,619,2.82,349188,57.97,Paused,2024-02-16,2024-03-18
CAMP-048,Diwali Dhamaka,Print Media,Central,232256,79321,1729,851,0.84,762509,91.24,Paused,2024-02-17,2024-03-19
CAMP-049,Summer Sale,Influencer,Central,374060,152028,286,862,11.47,218616,187.05,Paused,2024-02-18,2024-03-20
CAMP-050,Diwali Dhamaka,Social Media,North,123972,251447,4493,31,7.15,99976,172.79,Paused,2024-02-19,2024-03-21
CAMP-051,Flash Friday,Radio,North,243259,356275,4775,1145,4.69,475468,2.56,Paused,2024-02-20,2024-03-22
CAMP-052,Winter Fest,SEO,Central,325128,461124,1590,1090,13.55,315976,66.4,Active,2024-02-21,2024-03-23
CAMP-053,Winter Fest,Social Media,Central,345183,491555,3993,1099,2.18,271883,101.74,Active,2024-02-22,2024-03-24
CAMP-054,Summer Sale,SEO,West,135431,308107,413,851,14.36,261509,90.69,Completed,2024-02-23,2024-03-25
CAMP-055,Winter Fest,Print Media,East,395835,121757,2418,107,5.05,546965,22.65,Active,2024-02-24,2024-03-26
CAMP-056,Monsoon Offer,Email,North,370750,452659,335,1177,13.38,870580,168.94,Active,2024-02-25,2024-03-27
CAMP-057,Winter Fest,Social Media,East,453832,381403,198,444,9.24,813529,128.93,Active,2024-02-26,2024-03-28
CAMP-058,Diwali Dhamaka,Radio,East,414809,321207,4087,646,12.49,568823,164.34,Paused,2024-02-27,2024-03-29
CAMP-059,Diwali Dhamaka,Social Media,Central,155373,396369,4601,1119,14.77,269526,168.93,Completed,2024-02-28,2024-03-30
CAMP-060,Diwali Dhamaka,Social Media,West,231144,398544,1816,597,4.68,948662,144.64,Completed,2024-02-29,2024-03-31
CAMP-061,Diwali Dhamaka,Social Media,South,336718,362962,4945,353,14.44,397220,76.63,Completed,2024-03-01,2024-04-01
CAMP-062,Monsoon Offer,Influencer,West,446646,286847,1062,1327,6.15,874834,114.32,Completed,2024-03-02,2024-04-02
CAMP-063,New Year Blast,Social Media,West,300195,216200,2881,580,6.09,763087,15.28,Active,2024-03-03,2024-04-03
CAMP-064,Flash Friday,SEO,East,193748,92099,2557,620,5.44,88578,128.2,Active,2024-03-04,2024-04-04
CAMP-065,Summer Sale,Email,West,454032,439065,1573,252,8.35,664741,19.44,Paused,2024-03-05,2024-04-05
CAMP-066,Diwali Dhamaka,Print Media,North,82733,182932,2835,570,2.74,465534,132.67,Completed,2024-03-06,2024-04-06
CAMP-067,Winter Fest,TV Ads,East,266752,51585,2606,969,8.53,912147,30.51,Active,2024-03-07,2024-04-07
CAMP-068,Diwali Dhamaka,Social Media,North,52050,435231,3775,41,8.35,258859,5.86,Active,2024-03-08,2024-04-08
CAMP-069,Winter Fest,Radio,South,159996,490755,4626,400,11.55,161435,16.36,Paused,2024-03-09,2024-04-09
CAMP-070,Flash Friday,Social Media,East,83933,63585,1651,286,12.59,790389,-19.56,Paused,2024-03-10,2024-04-10
CAMP-071,Flash Friday,Radio,South,74951,309102,2458,541,6.89,201538,138.12,Paused,2024-03-11,2024-04-11
CAMP-072,Flash Friday,SEO,East,82413,308161,390,1187,4.88,932174,141.13,Active,2024-03-12,2024-04-12
CAMP-073,Winter Fest,Radio,Central,215873,489923,2867,392,4.26,95475,93.29,Active,2024-03-13,2024-04-13
CAMP-074,Diwali Dhamaka,TV Ads,West,236691,406821,2546,1101,3.32,896574,15.5,Paused,2024-03-14,2024-04-14
CAMP-075,Flash Friday,Email,Central,476129,458566,4980,893,1.34,790520,-1.62,Completed,2024-03-15,2024-04-15
CAMP-076,Monsoon Offer,Radio,South,424717,425417,1775,223,5.47,207636,-15.79,Paused,2024-03-16,2024-04-16
CAMP-077,Winter Fest,Radio,West,483816,311570,1739,385,4.42,203484,16.46,Paused,2024-03-17,2024-04-17
CAMP-078,Winter Fest,Email,East,238847,299922,3317,753,14.51,143526,175.99,Paused,2024-03-18,2024-04-18
CAMP-079,Diwali Dhamaka,TV Ads,West,271888,196313,4456,222,8.59,101001,33.14,Paused,2024-03-19,2024-04-19
CAMP-080,Winter Fest,Social Media,North,311044,62229,311,88,5.54,894081,57.94,Active,2024-03-20,2024-04-20
CAMP-081,Winter Fest,Radio,West,271165,106652,1492,637,8.92,242029,3.18,Completed,2024-03-21,2024-04-21
CAMP-082,Flash Friday,Email,North,293662,410411,455,613,2.52,478733,28.92,Paused,2024-03-22,2024-04-22
CAMP-083,Diwali Dhamaka,SEO,West,216472,269474,2240,791,6.94,718516,94.23,Completed,2024-03-23,2024-04-23
CAMP-084,Flash Friday,Email,North,447710,199436,4487,1414,9.58,990568,113.71,Completed,2024-03-24,2024-04-24
CAMP-085,Flash Friday,SEO,South,261760,408647,293,1010,7.59,599999,33.98,Completed,2024-03-25,2024-04-25
CAMP-086,Diwali Dhamaka,TV Ads,Central,172744,280116,4635,689,6.33,604394,-7.3,Paused,2024-03-26,2024-04-26
CAMP-087,Summer Sale,Social Media,East,401575,367022,4157,67,14.91,901890,66.03,Active,2024-03-27,2024-04-27
CAMP-088,Flash Friday,Email,West,255763,339200,610,1059,13.26,984093,31.52,Paused,2024-03-28,2024-04-28
CAMP-089,Monsoon Offer,Print Media,Central,93001,440706,4187,890,9.54,532488,28.3,Completed,2024-03-29,2024-04-29
CAMP-090,Monsoon Offer,Print Media,East,117364,39975,2775,456,8.76,442573,191.17,Completed,2024-03-30,2024-04-30
CAMP-091,Winter Fest,Influencer,East,437132,177795,643,75,9.5,267583,115.59,Active,2024-03-31,2024-05-01
CAMP-092,Monsoon Offer,Radio,North,357172,436495,1876,1287,3.42,413898,102.51,Paused,2024-04-01,2024-05-02
CAMP-093,Winter Fest,TV Ads,South,288506,229373,3279,1077,6.23,188286,71.47,Completed,2024-04-02,2024-05-03
CAMP-094,Summer Sale,Email,South,278731,424777,3337,1130,1.07,277189,74.37,Active,2024-04-03,2024-05-04
CAMP-095,Diwali Dhamaka,Print Media,Central,480789,217133,4123,1021,7.4,176479,99.0,Completed,2024-04-04,2024-05-05
CAMP-096,Diwali Dhamaka,Radio,South,181878,370541,183,236,8.37,470343,133.21,Active,2024-04-05,2024-05-06
CAMP-097,Diwali Dhamaka,Print Media,West,436487,200225,3188,783,3.8,186213,134.47,Active,2024-04-06,2024-05-07
CAMP-098,Monsoon Offer,Email,South,237710,315286,3969,688,14.48,603172,17.77,Paused,2024-04-07,2024-05-08
CAMP-099,Summer Sale,SEO,Central,178301,309060,122,1469,13.69,314852,90.02,Completed,2024-04-08,2024-05-09
CAMP-100,Monsoon Offer,Email,South,438439,84324,4544,610,10.97,854807,70.63,Paused,2024-04-09,2024-05-10
CAMP-101,Monsoon Offer,Influencer,West,210829,196037,4275,388,8.23,589376,171.52,Completed,2024-04-10,2024-05-11
CAMP-102,Summer Sale,Email,North,84636,408076,3028,1211,13.11,369759,118.91,Paused,2024-04-11,2024-05-12
CAMP-103,Summer Sale,Email,Central,261169,155720,4411,1460,2.39,422282,97.15,Completed,2024-04-12,2024-05-13
CAMP-104,Summer Sale,Influencer,North,229352,186205,2035,718,11.96,750406,5.39,Paused,2024-04-13,2024-05-14
CAMP-105,Summer Sale,TV Ads,North,336406,463893,842,316,2.31,322158,113.24,Active,2024-04-14,2024-05-15
CAMP-106,Diwali Dhamaka,Email,North,392579,116059,4309,788,12.02,769785,5.78,Completed,2024-04-15,2024-05-16
CAMP-107,New Year Blast,Influencer,East,243283,118317,144,513,4.5,446489,54.19,Completed,2024-04-16,2024-05-17
CAMP-108,New Year Blast,Radio,East,498058,221207,1183,277,13.22,752495,11.43,Active,2024-04-17,2024-05-18
CAMP-109,Summer Sale,SEO,North,440727,317190,4967,17,14.19,414986,132.26,Paused,2024-04-18,2024-05-19
CAMP-110,New Year Blast,SEO,Central,295596,460280,287,517,2.66,998385,25.38,Completed,2024-04-19,2024-05-20
CAMP-111,New Year Blast,Email,West,481413,121459,2996,485,7.21,540238,66.21,Completed,2024-04-20,2024-05-21
CAMP-112,Summer Sale,TV Ads,West,353988,257697,2580,1330,14.72,128077,177.05,Paused,2024-04-21,2024-05-22
CAMP-113,New Year Blast,TV Ads,South,376898,220422,2010,173,7.51,189784,24.95,Active,2024-04-22,2024-05-23
CAMP-114,Monsoon Offer,Radio,Central,477373,328037,1098,494,13.02,255776,91.72,Paused,2024-04-23,2024-05-24
CAMP-115,Winter Fest,Email,East,389273,121520,2579,1105,9.04,365018,72.24,Paused,2024-04-24,2024-05-25
CAMP-116,Winter Fest,SEO,North,352186,407962,3014,576,5.94,119087,-16.01,Paused,2024-04-25,2024-05-26
CAMP-117,Summer Sale,TV Ads,South,111665,81272,1013,914,4.64,848729,154.41,Completed,2024-04-26,2024-05-27
CAMP-118,Diwali Dhamaka,Email,West,296584,243224,586,568,3.45,814629,-4.81,Active,2024-04-27,2024-05-28
CAMP-119,Summer Sale,Print Media,East,166953,349793,4273,247,11.55,863560,84.34,Active,2024-04-28,2024-05-29
CAMP-120,Diwali Dhamaka,TV Ads,East,208448,346818,3729,1137,6.1,642656,103.35,Paused,2024-04-29,2024-05-30
CAMP-121,Winter Fest,Influencer,North,236626,164832,4237,1243,7.91,793859,118.25,Completed,2024-04-30,2024-05-31
CAMP-122,Summer Sale,Print Media,West,195271,172999,3774,563,7.64,391102,131.5,Paused,2024-05-01,2024-06-01
CAMP-123,Flash Friday,TV Ads,Central,168533,368619,592,837,8.87,345064,35.72,Completed,2024-05-02,2024-06-02
CAMP-124,Monsoon Offer,SEO,East,494164,81367,895,477,13.05,301514,-17.8,Completed,2024-05-03,2024-06-03
CAMP-125,New Year Blast,Social Media,North,123781,249027,3653,1487,14.72,978660,139.16,Completed,2024-05-04,2024-06-04
CAMP-126,Diwali Dhamaka,Print Media,Central,116262,425804,3086,1301,6.41,192180,97.84,Completed,2024-05-05,2024-06-05
CAMP-127,Flash Friday,Radio,West,358744,403894,2544,395,12.5,999349,163.95,Active,2024-05-06,2024-06-06
CAMP-128,New Year Blast,Radio,East,126898,252750,4535,784,11.59,970304,160.71,Completed,2024-05-07,2024-06-07
CAMP-129,New Year Blast,SEO,Central,199369,255806,2769,857,8.82,834192,165.53,Completed,2024-05-08,2024-06-08
CAMP-130,Summer Sale,TV Ads,Central,80448,400298,1934,396,14.36,485928,86.72,Paused,2024-05-09,2024-06-09
CAMP-131,New Year Blast,Email,Central,338316,203305,4188,886,3.41,970114,53.4,Paused,2024-05-10,2024-06-10
CAMP-132,Monsoon Offer,TV Ads,East,486090,64738,4399,268,2.08,651891,154.14,Active,2024-05-11,2024-06-11
CAMP-133,Flash Friday,SEO,East,57657,53397,3251,292,12.88,83872,79.28,Paused,2024-05-12,2024-06-12
CAMP-134,New Year Blast,Radio,South,306689,364333,2760,49,6.87,322872,20.36,Completed,2024-05-13,2024-06-13
CAMP-135,Summer Sale,TV Ads,West,468641,358511,2003,495,12.78,407246,168.09,Paused,2024-05-14,2024-06-14
CAMP-136,Monsoon Offer,Radio,North,469901,222332,4787,938,13.45,538535,174.16,Active,2024-05-15,2024-06-15
CAMP-137,Winter Fest,Print Media,Central,424999,402729,3900,229,1.41,434193,82.59,Paused,2024-05-16,2024-06-16
CAMP-138,Flash Friday,Email,South,467794,358763,739,1162,13.31,857015,-3.35,Paused,2024-05-17,2024-06-17
CAMP-139,New Year Blast,Print Media,North,209903,131453,2000,1024,7.0,135774,65.32,Active,2024-05-18,2024-06-18
CAMP-140,Summer Sale,Radio,South,57906,39816,506,1033,7.9,974767,156.78,Active,2024-05-19,2024-06-19
CAMP-141,Winter Fest,Radio,East,373557,455456,2180,622,9.59,438518,178.39,Completed,2024-05-20,2024-06-20
CAMP-142,Winter Fest,Social Media,Central,104028,419492,4026,937,13.93,248522,24.76,Paused,2024-05-21,2024-06-21
CAMP-143,Diwali Dhamaka,Social Media,North,319431,265011,4294,697,0.78,270357,-5.27,Completed,2024-05-22,2024-06-22
CAMP-144,Monsoon Offer,Print Media,North,345804,361674,1229,622,7.41,462672,173.02,Paused,2024-05-23,2024-06-23
CAMP-145,New Year Blast,Influencer,North,372648,436715,4335,269,10.47,927550,65.67,Paused,2024-05-24,2024-06-24
CAMP-146,Summer Sale,Print Media,North,240792,391000,3615,999,10.98,115942,99.19,Completed,2024-05-25,2024-06-25
CAMP-147,Diwali Dhamaka,Social Media,North,152979,233567,932,975,10.54,587977,192.97,Paused,2024-05-26,2024-06-26
CAMP-148,Monsoon Offer,Radio,South,84701,91635,449,375,2.45,607564,-5.36,Paused,2024-05-27,2024-06-27
CAMP-149,Diwali Dhamaka,SEO,Central,133300,389947,658,553,4.84,559565,122.63,Paused,2024-05-28,2024-06-28
CAMP-150,Flash Friday,Print Media,East,291249,236184,1688,658,5.7,572552,-3.7,Active,2024-05-29,2024-06-29
CAMP-151,Monsoon Offer,Radio,East,198746,318090,2198,823,12.16,676256,62.6,Completed,2024-05-30,2024-06-30
CAMP-152,Monsoon Offer,SEO,East,133560,337348,1432,1049,4.54,463089,156.84,Active,2024-05-31,2024-07-01
CAMP-153,New Year Blast,SEO,East,292615,202958,1453,1162,3.56,849482,75.36,Completed,2024-06-01,2024-07-02
CAMP-154,Monsoon Offer,Social Media,South,467090,484868,869,584,14.38,640504,199.38,Completed,2024-06-02,2024-07-03
CAMP-155,Diwali Dhamaka,Print Media,West,93642,297707,3342,1142,0.63,789804,102.99,Paused,2024-06-03,2024-07-04
CAMP-156,Monsoon Offer,TV Ads,Central,377304,112324,869,1022,14.97,396184,50.66,Completed,2024-06-04,2024-07-05
CAMP-157,New Year Blast,Email,North,329746,243536,469,679,10.31,595932,28.42,Active,2024-06-05,2024-07-06
CAMP-158,New Year Blast,Social Media,West,415464,252944,4269,278,12.51,112021,57.11,Active,2024-06-06,2024-07-07
CAMP-159,Flash Friday,Social Media,East,138801,291991,4567,1195,4.77,742485,61.96,Active,2024-06-07,2024-07-08
CAMP-160,Diwali Dhamaka,TV Ads,West,338075,46155,3352,1293,0.71,510115,-4.88,Completed,2024-06-08,2024-07-09
CAMP-161,Winter Fest,Email,Central,144377,361815,1558,933,11.2,92291,61.31,Active,2024-06-09,2024-07-10
CAMP-162,Winter Fest,Radio,North,341336,136891,817,1135,12.6,478276,82.13,Completed,2024-06-10,2024-07-11
CAMP-163,Monsoon Offer,Influencer,North,358686,365454,2094,256,11.24,444754,139.0,Active,2024-06-11,2024-07-12
CAMP-164,Flash Friday,Print Media,Central,439159,480494,2189,140,2.57,353664,124.48,Active,2024-06-12,2024-07-13
CAMP-165,Summer Sale,Influencer,Central,354664,169381,3079,362,11.42,75675,135.93,Completed,2024-06-13,2024-07-14
CAMP-166,Monsoon Offer,Radio,East,376916,151691,1599,205,11.65,723647,-18.16,Active,2024-06-14,2024-07-15
CAMP-167,Flash Friday,Social Media,North,362250,496410,1814,939,10.05,312318,27.89,Paused,2024-06-15,2024-07-16
CAMP-168,Diwali Dhamaka,Email,West,131121,463324,2695,1415,11.61,142268,125.57,Completed,2024-06-16,2024-07-17
CAMP-169,Diwali Dhamaka,Social Media,South,75559,54707,3766,1031,12.77,347142,86.48,Completed,2024-06-17,2024-07-18
CAMP-170,Diwali Dhamaka,SEO,South,417739,433553,4655,654,9.4,758672,-18.83,Completed,2024-06-18,2024-07-19
CAMP-171,Diwali Dhamaka,Social Media,Central,83742,363681,4531,236,1.78,979616,156.99,Paused,2024-06-19,2024-07-20
CAMP-172,Diwali Dhamaka,Social Media,East,381813,217576,2343,710,7.57,679698,150.02,Completed,2024-06-20,2024-07-21
CAMP-173,Flash Friday,Radio,South,202826,198686,4887,274,1.63,387369,100.65,Active,2024-06-21,2024-07-22
CAMP-174,Flash Friday,Radio,North,185044,242500,2758,1405,6.41,881246,-5.38,Active,2024-06-22,2024-07-23
CAMP-175,New Year Blast,Radio,Central,382975,373299,950,1467,6.4,397235,148.63,Active,2024-06-23,2024-07-24
CAMP-176,Winter Fest,Influencer,West,162217,282425,3134,655,1.46,362863,108.42,Completed,2024-06-24,2024-07-25
CAMP-177,Diwali Dhamaka,SEO,Central,91873,178492,2059,220,5.56,179887,152.03,Active,2024-06-25,2024-07-26
CAMP-178,Summer Sale,Radio,West,418676,494112,291,1410,2.11,346063,145.38,Completed,2024-06-26,2024-07-27
CAMP-179,Flash Friday,Email,Central,438411,190102,2435,1428,12.22,385299,156.66,Active,2024-06-27,2024-07-28
CAMP-180,Summer Sale,Influencer,Central,453119,414274,4318,1483,14.24,383713,93.96,Paused,2024-06-28,2024-07-29
CAMP-181,Summer Sale,TV Ads,Central,184092,237285,721,952,1.55,877760,10.87,Paused,2024-06-29,2024-07-30
CAMP-182,Summer Sale,Email,West,353899,358404,213,1397,14.35,251554,127.65,Paused,2024-06-30,2024-07-31
CAMP-183,New Year Blast,Print Media,West,398100,179476,514,466,8.08,861050,116.5,Paused,2024-07-01,2024-08-01
CAMP-184,Flash Friday,Print Media,Central,136988,254554,3092,734,4.84,608963,143.3,Completed,2024-07-02,2024-08-02
CAMP-185,Summer Sale,Email,South,95648,180928,4642,1259,1.61,545010,17.37,Active,2024-07-03,2024-08-03
CAMP-186,Diwali Dhamaka,Radio,East,175991,160272,4845,991,7.76,855351,22.89,Paused,2024-07-04,2024-08-04
CAMP-187,Monsoon Offer,TV Ads,East,452732,346322,2492,1164,12.02,840605,175.89,Completed,2024-07-05,2024-08-05
CAMP-188,Summer Sale,TV Ads,East,427149,316141,4848,597,10.75,421513,145.0,Paused,2024-07-06,2024-08-06
CAMP-189,New Year Blast,Influencer,West,52396,438827,2405,485,1.23,862832,179.81,Paused,2024-07-07,2024-08-07
CAMP-190,Flash Friday,TV Ads,West,134082,139273,4328,995,1.56,231517,146.92,Completed,2024-07-08,2024-08-08
CAMP-191,New Year Blast,Print Media,South,462345,192307,4774,1310,6.34,120305,111.37,Completed,2024-07-09,2024-08-09
CAMP-192,Summer Sale,SEO,East,178322,268500,2607,165,4.78,742924,123.91,Active,2024-07-10,2024-08-10
CAMP-193,Flash Friday,Radio,East,182663,186129,595,1251,3.87,489030,175.61,Active,2024-07-11,2024-08-11
CAMP-194,Monsoon Offer,TV Ads,Central,61303,152311,4769,199,4.57,522963,107.34,Paused,2024-07-12,2024-08-12
CAMP-195,Summer Sale,Influencer,West,211633,254746,3885,1450,12.15,663079,119.13,Paused,2024-07-13,2024-08-13
CAMP-196,New Year Blast,Print Media,East,383863,265546,643,990,13.97,209034,14.42,Active,2024-07-14,2024-08-14
CAMP-197,Winter Fest,SEO,South,299690,216733,4889,555,6.37,528108,84.26,Active,2024-07-15,2024-08-15
CAMP-198,Diwali Dhamaka,Social Media,South,309820,146945,3854,50,13.64,644821,137.61,Completed,2024-07-16,2024-08-16
CAMP-199,New Year Blast,Social Media,East,149616,65272,1509,316,5.16,237256,39.61,Active,2024-07-17,2024-08-17
CAMP-200,Flash Friday,SEO,West,436309,371537,3543,952,7.41,526128,24.5,Active,2024-07-18,2024-08-18
CAMP-201,Summer Sale,Print Media,South,136231,343356,2651,347,3.78,940023,49.04,Paused,2024-07-19,2024-08-19
CAMP-202,Diwali Dhamaka,Influencer,Central,319458,166470,2494,1347,9.79,715938,33.13,Active,2024-07-20,2024-08-20
CAMP-203,Summer Sale,SEO,South,69623,140030,2722,1108,14.7,705348,27.28,Paused,2024-07-21,2024-08-21
CAMP-204,Flash Friday,Radio,North,248747,338647,4250,962,9.25,723984,73.47,Active,2024-07-22,2024-08-22
CAMP-205,Summer Sale,Radio,North,155228,419854,66,288,5.69,875626,179.72,Completed,2024-07-23,2024-08-23
CAMP-206,Winter Fest,Social Media,West,476346,26570,3241,1209,9.89,422047,91.55,Active,2024-07-24,2024-08-24
CAMP-207,Diwali Dhamaka,TV Ads,East,232828,350929,442,905,2.28,443605,21.34,Active,2024-07-25,2024-08-25
CAMP-208,Diwali Dhamaka,Influencer,West,409768,29110,474,282,13.39,411447,-3.07,Active,2024-07-26,2024-08-26
CAMP-209,Flash Friday,Social Media,West,207364,99141,621,846,7.79,292188,133.15,Paused,2024-07-27,2024-08-27
CAMP-210,Winter Fest,TV Ads,West,423929,32115,3681,629,7.02,426047,64.22,Completed,2024-07-28,2024-08-28
CAMP-211,New Year Blast,TV Ads,West,398350,59062,1170,871,9.0,903823,160.8,Active,2024-07-29,2024-08-29
CAMP-212,Summer Sale,Radio,Central,119274,305055,291,940,9.56,287501,125.09,Paused,2024-07-30,2024-08-30
CAMP-213,Monsoon Offer,Print Media,Central,183541,124061,3947,298,1.54,981298,155.17,Completed,2024-07-31,2024-08-31
CAMP-214,Summer Sale,Email,South,103947,314700,4145,733,10.4,370146,39.83,Paused,2024-08-01,2024-09-01
CAMP-215,Summer Sale,Print Media,North,203606,491347,2329,902,4.01,347675,132.32,Paused,2024-08-02,2024-09-02
CAMP-216,New Year Blast,Email,West,244692,410479,838,281,10.85,758175,38.09,Completed,2024-08-03,2024-09-03
CAMP-217,Summer Sale,SEO,South,98874,21969,764,1099,12.43,579274,186.6,Active,2024-08-04,2024-09-04
CAMP-218,Winter Fest,Radio,North,99708,325897,4904,492,12.16,868730,120.0,Paused,2024-08-05,2024-09-05
CAMP-219,Winter Fest,TV Ads,East,124553,496027,2899,945,8.51,313625,51.39,Paused,2024-08-06,2024-09-06
CAMP-220,Diwali Dhamaka,Influencer,Central,118344,417686,825,257,8.04,892840,39.29,Active,2024-08-07,2024-09-07
CAMP-221,Flash Friday,Email,North,361282,141863,4076,165,2.57,250339,22.0,Active,2024-08-08,2024-09-08
CAMP-222,Monsoon Offer,Print Media,East,235374,292369,2297,1080,11.74,696238,132.82,Completed,2024-08-09,2024-09-09
CAMP-223,Summer Sale,TV Ads,North,97638,143008,128,463,4.44,984339,28.12,Completed,2024-08-10,2024-09-10
CAMP-224,Summer Sale,Email,Central,128249,174268,3976,210,7.7,175355,110.97,Completed,2024-08-11,2024-09-11
